iter	Passed	Remaining
687	4434	2010
688	4440	2004
689	4446	1997
690	4452	1991
691	4459	1984
692	4464	1977
693	4471	1971
694	4475	1963
695	4481	1957
696	4486	1950
697	4489	1942
698	4495	1935
699	4501	1929
700	4507	1922
701	4513	1916
702	4520	1909
703	4526	1903
704	4531	1895
705	4537	1889
706	4543	1883
707	4549	1876
708	4556	1869
709	4562	1863
710	4568	1856
711	4574	1850
712	4580	1843
713	4587	1837
714	4592	1830
715	4598	1824
716	4604	1817
717	4610	1810
718	4617	1804
719	4624	1798
720	4629	1791
721	4635	1784
722	4641	1778
723	4648	1771
724	4654	1765
725	4660	1758
726	4665	1752
727	4671	1745
728	4678	1739
729	4685	1732
730	4691	1726
731	4697	1719
732	4704	1713
733	4710	1707
734	4716	1700
735	4722	1694
736	4729	1687
737	4735	1681
738	4741	1674
739	4748	1668
740	4755	1662
741	4761	1655
742	4768	1649
743	4774	1642
744	4780	1636
745	4787	1629
746	4793	1623
747	4799	1616
748	4805	1610
749	4812	1604
750	4818	1597
751	4824	1591
752	4830	1584
753	4836	1578
754	4843	1571
755	4849	1565
756	4855	1558
757	4861	1552
758	4868	1545
759	4873	1539
760	4880	1532
761	4886	1526
762	4893	1519
763	4899	1513
764	4905	1506
765	4911	1500
766	4917	1493
767	4924	1487
768	4931	1481
769	4938	1475
770	4944	1468
771	4950	1462
772	4956	1455
773	4963	1449
774	4969	1442
775	4975	1436
776	4981	1429
777	4988	1423
778	4993	1416
779	5000	1410
780	5006	1403
781	5012	1397
782	5019	1390
783	5024	1384
784	5031	1378
785	5038	1371
786	5044	1365
787	5051	1358
788	5057	1352
789	5064	1346
790	5074	1340
791	5080	1334
792	5086	1327
793	5092	1321
794	5098	1314
795	5104	1308
796	5110	1301
797	5117	1295
798	5123	1288
799	5130	1282
800	5136	1275
801	5142	1269
802	5148	1263
803	5154	1256
804	5160	1250
805	5166	1243
806	5173	1237
807	5179	1230
808	5186	1224
809	5193	1218
810	5200	1212
811	5208	1206
812	5216	1199
813	5223	1193
814	5231	1187
815	5238	1181
816	5245	1174
817	5252	1168
818	5259	1162
819	5266	1156
820	5273	1149
821	5280	1143
822	5288	1137
823	5295	1131
824	5302	1124
825	5308	1118
826	5315	1112
827	5323	1105
828	5330	1099
829	5336	1093
830	5343	1086
831	5350	1080
832	5356	1073
833	5363	1067
834	5370	1061
835	5377	1054
836	5383	1048
837	5390	1042
838	5398	1035
839	5405	1029
840	5412	1023
841	5418	1016
842	5425	1010
843	5431	1003
844	5441	998
845	5447	991
846	5453	985
847	5459	978
848	5466	972
849	5472	965
850	5478	959
851	5484	952
852	5491	946
853	5497	939
854	5503	933
855	5509	926
856	5516	920
857	5523	914
858	5529	907
859	5536	901
860	5541	894
861	5548	888
862	5554	881
863	5559	875
864	5566	868
865	5571	862
866	5577	855
867	5583	849
868	5589	842
869	5596	836
870	5602	829
871	5608	823
872	5614	816
873	5620	810
874	5626	803
875	5633	797
876	5639	790
877	5646	784
878	5652	778
879	5658	771
880	5665	765
881	5671	758
882	5677	752
883	5682	745
884	5688	739
885	5695	732
886	5701	726
887	5708	719
888	5714	713
889	5720	707
890	5726	700
891	5732	694
892	5738	687
893	5744	681
894	5751	674
895	5758	668
896	5764	661
897	5771	655
898	5777	649
899	5783	642
900	5789	636
901	5795	629
902	5802	623
903	5808	616
904	5814	610
905	5820	603
906	5827	597
907	5833	591
908	5840	584
909	5847	578
910	5853	571
911	5859	565
912	5864	558
913	5870	552
914	5876	545
915	5882	539
916	5889	533
917	5895	526
918	5902	520
919	5908	513
920	5914	507
921	5920	500
922	5927	494
923	5933	488
924	5939	481
925	5946	475
926	5952	468
927	5958	462
928	5964	455
929	5970	449
930	5975	442
931	5983	436
932	5988	430
933	5995	423
934	6000	417
935	6006	410
936	6013	404
937	6020	397
938	6026	391
939	6031	385
940	6037	378
941	6043	372
942	6050	365
943	6056	359
944	6062	352
945	6068	346
946	6074	339
947	6081	333
948	6087	327
949	6093	320
950	6100	314
951	6106	307
952	6113	301
953	6120	295
954	6126	288
955	6132	282
956	6139	275
957	6145	269
958	6150	262
959	6157	256
960	6164	250
961	6170	243
962	6176	237
963	6182	230
964	6187	224
965	6193	218
966	6200	211
967	6207	205
968	6213	198
969	6219	192
970	6226	185
971	6232	179
972	6239	173
973	6245	166
974	6252	160
975	6259	153
976	6265	147
977	6271	141
978	6278	134
979	6285	128
980	6291	121
981	6297	115
982	6303	109
983	6309	102
984	6315	96
985	6322	89
986	6328	83
987	6334	76
988	6340	70
989	6346	64
990	6353	57
991	6359	51
992	6365	44
993	6371	38
994	6377	32
995	6384	25
996	6390	19
997	6396	12
998	6402	6
999	6408	0
